,id,date,rawContent,cleaned_content
30,17531,2022-06-25 23:44:33+00:00,"#DeluxyProfessionalBoxingLeague | 

The legend #KKFosu rocking the Arena🔥🔥🔥

Fight Night 7🥊 LIVE, only #MaxTV 

#MaxTV #MaxFM #MaxOnline #Boxing #Tecno #imax #deluxypaints https://t.co/B3v9t1Sabt",the legend rocking the arena fight night 7 live only
31,17532,2022-06-25 23:44:22+00:00,Oiii Steven still likes/loves Nancy. Well that’s cute. But he needs to heal and move on,oiii steven still likesloves nancy well thats cute but he needs to heal and move on
32,17533,2022-06-25 23:43:57+00:00,You people fool oo https://t.co/B5YKQiZLfD,you people fool oo
33,17534,2022-06-25 23:43:56+00:00,@_giselaamponsah you should tell your relationship officer about it,you should tell your relationship officer about it
34,17535,2022-06-25 23:41:51+00:00,"Lord, help my doubt",lord help my doubt
35,17536,2022-06-25 23:41:44+00:00,Herrrr 🤣🤣🤣🤣🤣🤣 https://t.co/fLWwpUgooj,herrrr
36,17537,2022-06-25 23:41:43+00:00,Allyssa is the problem,allyssa is the problem
37,17538,2022-06-25 23:40:37+00:00,❤ https://t.co/VTf3YjoKmo,
38,17539,2022-06-25 23:40:04+00:00,"D’evils 
Dead presidents II
Can I live https://t.co/4CMFPSFVTG",devils dead presidents ii can i live
39,17540,2022-06-25 23:39:06+00:00,@hajia4reall ur birthday should be on Netflix on Monday... Tomorrow u become Accra President then after the Party u will be the talk of Gh. Happy Birthday in 25mins time. Much love.... @ Kotoka International Airport https://t.co/WKU0vxpfyc,ur birthday should be on netflix on monday tomorrow u become accra president then after the party u will be the talk of gh happy birthday in 25mins time much love kotoka international airport
40,17541,2022-06-25 23:39:06+00:00,Good tune 💯 https://t.co/VoXvGCKjgw,good tune
41,17542,2022-06-25 23:37:59+00:00,🤣🤣 https://t.co/IlIgkMXZ17,
42,17543,2022-06-25 23:37:19+00:00,"@iSunnysam E,go bi",ego bi
43,17544,2022-06-25 23:36:12+00:00,@TAFELMUKOVIC I tell the boys your money come so make dem meet in the morning for something small cos you dey go church and you no go brown them.,i tell the boys your money come so make dem meet in the morning for something small cos you dey go church and you no go brown them
44,17545,2022-06-25 23:35:14+00:00,Got me real teary❤️ https://t.co/mXhCN2GMPq,got me real teary
45,17546,2022-06-25 23:35:10+00:00,This is serious https://t.co/4bmdBLTppF,this is serious
46,17547,2022-06-25 23:35:01+00:00,"@skid_milli Fine champ cognac. V.s.o.p 
Heat ⚡️",fine champ cognac v s o p heat
47,17548,2022-06-25 23:34:50+00:00,We won’t back down. #BansOffOurBodies,we wont back down
48,17549,2022-06-25 23:34:44+00:00,#RIPMichaelJackson,
49,17550,2022-06-25 23:34:13+00:00,You are likely to succeed faster in life if you focus on a woman than yourself because in the quest to make her happy you do more than try to make yourself happy.,you are likely to succeed faster in life if you focus on a woman than yourself because in the quest to make her happy you do more than try to make yourself happy
50,17551,2022-06-25 23:33:28+00:00,@Donsarkcess Russians breakfast,russians breakfast
51,17552,2022-06-25 23:33:26+00:00,Moussa Dembele so cold with the left food 😮‍💨 https://t.co/g0vWOjOIB3,moussa dembele so cold with the left food
52,17553,2022-06-25 23:32:50+00:00,@Donsarkcess plenty most are not Ghanaians,plenty most are not ghanaians
53,17554,2022-06-25 23:32:37+00:00,🥁🥁💃🏿💃🏿🕺🏿🕺🏿🕺🏿🕺🏿🕺🏿♠️🎭🎭🎭 https://t.co/YzAtKtq7hs,
54,17555,2022-06-25 23:32:35+00:00,https://t.co/miyZvHygfi,
55,17556,2022-06-25 23:32:06+00:00,@FlertBFA The listed players are good players who were not desperate for success but wanted to the EPL and football so they chose Arsenal 👌,the listed players are good players who were not desperate for success but wanted to the epl and football so they chose arsenal
56,17557,2022-06-25 23:31:44+00:00,@1real_asap 😂😂,
57,17558,2022-06-25 23:31:40+00:00,@CitizenTechiman @AnnanPerry Imposter,imposter
58,17559,2022-06-25 23:31:30+00:00,Whatever is mine will always be mine.,whatever is mine will always be mine
59,17560,2022-06-25 23:31:15+00:00,Jackie en own e be like 2 p3 wey dey 4the whole Africa. Buh wale dey do mouth mouth #pahpahpah to the whole wiase. https://t.co/htd51aZz2d,jackie en own e be like 2 p3 wey dey 4the whole africa buh wale dey do mouth mouth to the whole wiase
60,17561,2022-06-25 23:30:26+00:00,@Kay__debrah Hahaaha...abi this be the people with 200k plus followers oo,hahaaha abi this be the people with 200k plus followers oo
61,17562,2022-06-25 23:30:22+00:00,I refuse to be moved by this. Woman na scam. https://t.co/557AAK1CcI,i refuse to be moved by this woman na scam
